LongTime,,,,,,,,,
Client,Mostafa,,,,,,,,
Status,Active,,,,,,,,
Currency,EGP,,,,,,,,
Total Cost,44250.00 EGP,,,,,,,,
Delivered,31250.00 EGP,,,,,,,,
Done/Review,1200.00 EGP,,,,,,,,
Pending,11800.00 EGP,,,,,,,,
,,,,,,,,,
#,Title,Description,Cost (EGP),Status,Priority,Date,Deadline,Est. Hours,Logged Hours
11,مشكله في اضافة بونص المشرفين,لو جيت اضيف بونص للمشرف مش بتشتغل,0,Done,🟡 Medium,2026-03-09,—,0,0
12,خدمة الاختبار المغلق لرفع تطبيق الموبايل علي المتجر,,750,Delivered,🟡 Medium,2026-03-09,—,0,0
13,النقاط الاول في تعديلات الpos,"كدا النقاط الاخيره كلها:
١- تعديل رسالة الفاتوره و حذف شكرا لتعاملكم معنا الي شكرا + رابط الموقع فقط
٢- تغير رسالة كشف الحساب الي “شركة لونج تايم للصناعات الكهربائية 

رصيد المديونية 
*العميل:* يزن مصطفى
---
*الرصيد المستحق:* 10425.41 جنيه

---

📅 *التاريخ:* ٣‏/٢‏/٢٠٢٦ والساعه” مع حذف القروش
٣- ارسال مع كشف الحساب التفصيلي ملف زي المرفق بإسم “كشف حساب باور هاوس.pdf”
٤- عند تصدير اكسيل في ادارة العملاء يجب تغير الملف الي نفس البيانات في الصوره المرفقه بإسم “WhatsApp Image 2026-02-03 at 15.30.18.jpeg”
٥- في فاتورة المرتجع عايزين حالة تسليم تبقا تم التسليم الاختيار التلقائي 
٦- لو في حاجات هنرجعها مش متضافه في فاتورة عميل من قبل تضاف بس يبقا في تنويه ان السعر بتاعها محتاج يتراجع او تبقا بلون مختلف 
٧- في ديالوج تفاصيل العميل المتفرع من صفحة ادارة العملاء عايزين العناصر تبقا لونها واضح في المنتجات و ملخص المبالغ و يتماشي مع لون الثيم المطبق
٨- الpdf بتاع كشف حساب تفصيلي للعميل محتاج مقاساته تتظبط لأن في جزء منه بيبقا متاكل مش ظاهر
٩- محتاجين فلتر في صفحة القبض السريع يتطبق علي كل شئ في الصفحه حتي الحسابات
١٠- عايزين خانة لمجموع المديونية في صفحة ادارة العملاء
١١- في تفاصيل العميل من ادارة العملاء بينات سجل الفواتير مظبوطه بس الي بيطلع في كشف الحساب مش مطابق ليها و في عملاء بيظهر في تفاصيل العميل انها عليها رصيد مستحق لاكن سجل الفواتير بتاعها فاضي
١٢- القسم في المنتجات فيها حاجه غلط في التطبيق بالكامل",15000,Delivered,🟡 Medium,2026-03-08,—,0,0
14,تعديل تقرير فواتير العملاء من صفحة التقارير,تعديل شكل التقرير للشكل المرسل بتاريخ ٨ مارس الساعه ٩و ٥ دقائق صباحا,0,Pending,🟡 Medium,2026-03-08,—,0,0
15,تعديل تقرير القبض,تعديل شكل تقرير القبض للشكل المرسل بتاريخ ٨ مارس الساعه ٩ و ٣ دقايق صباحا,0,Pending,🟡 Medium,2026-03-08,—,1,1
16,تعديل شكل تقرير مدفوعات العملاء في صفحة التقارير,تعديل شكل التقرير الي الشكل المرسل بتاريخ ٨ مارس الساعه ٩و٦ دقائق صباحا,0,Pending,🟡 Medium,2026-03-08,—,0,0
17,تعديل تقرير ادارة العملاء,تعديل تقرير ادارة العملاء لتقرير مرسل بتاريخ ٨ مارس الساعه ٩ و دقيقتين صباحا,0,Pending,🟡 Medium,2026-03-08,—,1,1
18,تطوير تطبيق الموبايل,تطبيق موبايل لكل الroles بألية عرض فقط بدون اي اكشنز مع اشعارات و ربطه بالpos,8500,Delivered,🟡 Medium,2026-03-01,—,0,0
19,تعديلات pos 3,"*صوره*
بالاضافة الى الحاجه لتحديد مكان النسخ ااحتياطي
بالاضافة الى الغاء طباعة ايصال القبض بعد كل عملية (تحدث الياا)
بالاضافة الى امكانية النزول بالسهم من الكيبورد في اثناء اختيار الاصناف (في صفحة انشاء فاتورة)
في صفحة القبض تبديل اماكن اسم العميل ومكان ادخال القيمة ليكون الاعلى ادخال القيمة ثم اسفله اسم العميل (زر انتر تنتقل الى الخانة التالية)
امكانية استخراج العمليات الظاهره في صفحة القبض السريع في ملف اكسيل",1500,Delivered,🟡 Medium,2026-03-01,—,0,0
20,ميزة اضافة فواتير بيع و فواتير قبض من تطبيق الموبايل,,2500,Pending,🟡 Medium,2026-03-01,—,0,0
21,صفحه لإرسال الإشعارات من تطبيق الPC,صفحه يمكن منها ارسال اشعارات لتطبيق الموبايل و تحديد الاشعار يروح لأي فئه من الroles او لشخص محدد او مجموعة اشخاص محددين,600,Pending,🟡 Medium,2026-03-01,—,0,0
22,تعديلات الpos 2,"- بص اول حاجه مش هيبقا فيه نقدي او او تقسيط جاست اجل
- ⁠اول ماختار الصنف يجبلي اني احط الكميه الاول 
- ⁠هنضيف عند اضافه ايتم جديد حاجه اسمها العدد ف الكرتونه بيحطه اهو وده بيكون ثابت زيه زي الاسم وبيظهر ف الفاتوره
- ⁠اضافه ملاحظات ع الفاتوره
- ⁠ف العملاء هيبقا ٣رولز دبيندنت ع بعض
- ⁠هنلغي بدء الورديه
- ⁠وكمان هنخلي حتي لو كميه الايتم زيرو يعمل الفاتوره عادي ميعتمدش ع الكميه
- ⁠التقارير الصنف الاكثر مبيعا والعملاء الاكثر مبيعا والأكثر مدفوعات والاكثر ديون
- ⁠عند حفظ الفاتوره عاوز الفاتوره تتحفظ في pdf ويكون اسم الpdf باسم العميل ورقم الفاتوره 
- ⁠ويبقا فيه زرار سيند واتساب
- ⁠بالنسبه للواتساب ف اول حاجه يبقا فيه اوبشن اني هبعت الفواتير بتاعت النهارده او ابعت فواتير من رقم كذا لكذا
- ⁠الاوبشن التاني اني ابعت للمندوب بس ولا العملاء بس ولا المندوب والعملاء 
- ⁠الاوبشن التالت اني ابعت ع جروب ولا ع ارقامهم
- ⁠يبقا فيه اوبشن اني ابعت الstatement للمندوب او العميل ب time احدده ف الاوبشن ده بختار ابعت الرصيد الحالي والstatement ولا ابعت الرصيد الحالي بس
- ⁠الstatement اللي تطلع تكون من يوم ١-١ لحد ناو
- ⁠فيه اوبشن وانا ببعت الفواتير ابعت فواتير البيع ولا القبض 
- ⁠عندنا خانه للبونص للعملاء الاهم متبقاش من المدفوعات 
- ⁠نضيف statement قديمه ع الstatement الموجود اوريدي",5000,Delivered,🟡 Medium,2026-02-21,—,0,0
